text,pos,total,pos_unique
высеченное плеткой меньшего числа дней,"['VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN']",5,3
слово пою,"['NOUN', 'VERB']",2,2
огневод пота струями покрытый пастушеской шкуре пепла дыма копоти,"['ADV', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN']",9,4
темный смуглый,"['ADJ', 'ADJ']",2,1
белым поленом кормил,"['ADJ', 'NOUN', 'VERB']",3,3
дровоядного зверя огня,"['ADJ', 'NOUN', 'NOUN']",3,2
желтозарный прятался смертью,"['ADJ', 'VERB', 'NOUN']",3,3
забор темноты ложился кольцом собака,"['NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN']",5,2
листве черного дерева мрака,"['NOUN', 'ADJ', 'NOUN', 'NOUN']",4,2
глаз нам поведал оперение синего зимородка,"['NOUN', 'PRON', 'VERB', 'NOUN', 'ADJ', 'NOUN']",6,4
черными перьями падала черная ветвь темноты,"['ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN']",6,3
дико бросался грыз гривой сверкнув золотой,"['ADV', 'VERB', 'ADP', 'NOUN', 'VERB', 'ADJ']",6,5
груду полен среброрунных,"['NOUN', 'NOUN', 'ADJ']",3,2
глухо выл пасть небу подняв холода пламенный голод жалуясь звездам,"['ADV', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN']",10,4
решетку окна звезды смотрели,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
огонь рабочий кормил,"['NOUN', 'ADJ', 'VERB']",3,3
тушами белых берез испуганной рощи,"['NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",5,2
колыхали главами ночь шелестя,"['VERB', 'NOUN', 'NOUN', 'VERB']",4,2
всё мало,"['PRON', 'ADV']",2,2
приходе людей жалобы,"['NOUN', 'NOUN', 'NOUN']",3,1
вывеску гробов продажа,"['NOUN', 'NOUN', 'NOUN']",3,1
крик улиц темноты,"['NOUN', 'NOUN', 'NOUN']",3,1
падала тихая сажа,"['VERB', 'ADJ', 'NOUN']",3,3
лодке плыли боги,"['NOUN', 'VERB', 'NOUN']",3,2
подымалась мимо рука,"['VERB', 'ADV', 'NOUN']",3,3
зеркальные окутана чертоги,"['ADJ', 'VERB', 'NOUN']",3,3
долом теневого выморока,"['NOUN', 'ADJ', 'NOUN']",3,2
временное правительство,"['ADJ', 'NOUN']",2,2
отправлено острог жительство,"['VERB', 'NOUN', 'NOUN']",3,2
воин морщинистолобый,"['NOUN', 'ADJ']",2,2
глазом сига чудского озера,"['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
хмурою гривою пращура,"['NOUN', 'NOUN', 'NOUN']",3,1
спокойно вышел битву,"['ADV', 'VERB', 'NOUN']",3,3
заплат одеждах,"['ADP', 'NOUN']",2,2
керенских грубых,"['ADJ', 'ADJ']",2,1
